"city","year","weekofyear","total_cases"
"sj",2008,18,4
"sj",2008,19,4
"sj",2008,20,5
"sj",2008,21,6
"sj",2008,22,6
"sj",2008,23,7
"sj",2008,24,7
"sj",2008,25,8
"sj",2008,26,8
"sj",2008,27,9
"sj",2008,28,11
"sj",2008,29,11
"sj",2008,30,12
"sj",2008,31,14
"sj",2008,32,15
"sj",2008,33,17
"sj",2008,34,18
"sj",2008,35,19
"sj",2008,36,20
"sj",2008,37,20
"sj",2008,38,20
"sj",2008,39,21
"sj",2008,40,21
"sj",2008,41,21
"sj",2008,42,21
"sj",2008,43,21
"sj",2008,44,20
"sj",2008,45,19
"sj",2008,46,18
"sj",2008,47,16
"sj",2008,48,15
"sj",2008,49,12
"sj",2008,50,11
"sj",2008,51,11
"sj",2008,52,11
"sj",2009,1,11
"sj",2009,2,11
"sj",2009,3,11
"sj",2009,4,12
"sj",2009,5,12
"sj",2009,6,13
"sj",2009,7,13
"sj",2009,8,15
"sj",2009,9,16
"sj",2009,10,17
"sj",2009,11,19
"sj",2009,12,22
"sj",2009,13,24
"sj",2009,14,26
"sj",2009,15,29
"sj",2009,16,32
"sj",2009,17,36
"sj",2009,18,40
"sj",2009,19,44
"sj",2009,20,50
"sj",2009,21,56
"sj",2009,22,64
"sj",2009,23,74
"sj",2009,24,88
"sj",2009,25,106
"sj",2009,26,129
"sj",2009,27,157
"sj",2009,28,188
"sj",2009,29,220
"sj",2009,30,254
"sj",2009,31,285
"sj",2009,32,302
"sj",2009,33,282
"sj",2009,34,223
"sj",2009,35,173
"sj",2009,36,146
"sj",2009,37,92
"sj",2009,38,63
"sj",2009,39,52
"sj",2009,40,36
"sj",2009,41,29
"sj",2009,42,24
"sj",2009,43,21
"sj",2009,44,19
"sj",2009,45,18
"sj",2009,46,18
"sj",2009,47,18
"sj",2009,48,18
"sj",2009,49,18
"sj",2009,50,19
"sj",2009,51,20
"sj",2009,52,21
"sj",2010,53,22
"sj",2010,1,23
"sj",2010,2,25
"sj",2010,3,26
"sj",2010,4,28
"sj",2010,5,29
"sj",2010,6,31
"sj",2010,7,32
"sj",2010,8,34
"sj",2010,9,36
"sj",2010,10,37
"sj",2010,11,38
"sj",2010,12,39
"sj",2010,13,39
"sj",2010,14,39
"sj",2010,15,39
"sj",2010,16,38
"sj",2010,17,37
"sj",2010,18,35
"sj",2010,19,34
"sj",2010,20,32
"sj",2010,21,31
"sj",2010,22,29
"sj",2010,23,28
"sj",2010,24,25
"sj",2010,25,22
"sj",2010,26,19
"sj",2010,27,17
"sj",2010,28,15
"sj",2010,29,14
"sj",2010,30,14
"sj",2010,31,13
"sj",2010,32,13
"sj",2010,33,11
"sj",2010,34,9
"sj",2010,35,8
"sj",2010,36,8
"sj",2010,37,8
"sj",2010,38,8
"sj",2010,39,8
"sj",2010,40,8
"sj",2010,41,8
"sj",2010,42,9
"sj",2010,43,9
"sj",2010,44,9
"sj",2010,45,9
"sj",2010,46,10
"sj",2010,47,10
"sj",2010,48,10
"sj",2010,49,10
"sj",2010,50,11
"sj",2010,51,11
"sj",2011,52,11
"sj",2011,1,11
"sj",2011,2,11
"sj",2011,3,11
"sj",2011,4,12
"sj",2011,5,12
"sj",2011,6,12
"sj",2011,7,12
"sj",2011,8,12
"sj",2011,9,12
"sj",2011,10,12
"sj",2011,11,12
"sj",2011,12,12
"sj",2011,13,12
"sj",2011,14,12
"sj",2011,15,12
"sj",2011,16,12
"sj",2011,17,12
"sj",2011,18,12
"sj",2011,19,12
"sj",2011,20,13
"sj",2011,21,13
"sj",2011,22,13
"sj",2011,23,13
"sj",2011,24,13
"sj",2011,25,13
"sj",2011,26,14
"sj",2011,27,14
"sj",2011,28,15
"sj",2011,29,15
"sj",2011,30,16
"sj",2011,31,16
"sj",2011,32,17
"sj",2011,33,18
"sj",2011,34,19
"sj",2011,35,21
"sj",2011,36,22
"sj",2011,37,24
"sj",2011,38,26
"sj",2011,39,27
"sj",2011,40,30
"sj",2011,41,32
"sj",2011,42,34
"sj",2011,43,37
"sj",2011,44,41
"sj",2011,45,44
"sj",2011,46,48
"sj",2011,47,53
"sj",2011,48,59
"sj",2011,49,67
"sj",2011,50,76
"sj",2011,51,89
"sj",2012,52,106
"sj",2012,1,129
"sj",2012,2,158
"sj",2012,3,191
"sj",2012,4,223
"sj",2012,5,253
"sj",2012,6,282
"sj",2012,7,298
"sj",2012,8,277
"sj",2012,9,222
"sj",2012,10,179
"sj",2012,11,153
"sj",2012,12,100
"sj",2012,13,72
"sj",2012,14,63
"sj",2012,15,45
"sj",2012,16,36
"sj",2012,17,31
"sj",2012,18,26
"sj",2012,19,22
"sj",2012,20,22
"sj",2012,21,21
"sj",2012,22,20
"sj",2012,23,21
"sj",2012,24,21
"sj",2012,25,22
"sj",2012,26,22
"sj",2012,27,23
"sj",2012,28,24
"sj",2012,29,25
"sj",2012,30,26
"sj",2012,31,27
"sj",2012,32,28
"sj",2012,33,29
"sj",2012,34,30
"sj",2012,35,31
"sj",2012,36,32
"sj",2012,37,33
"sj",2012,38,33
"sj",2012,39,33
"sj",2012,40,33
"sj",2012,41,33
"sj",2012,42,33
"sj",2012,43,32
"sj",2012,44,32
"sj",2012,45,31
"sj",2012,46,30
"sj",2012,47,29
"sj",2012,48,28
"sj",2012,49,27
"sj",2012,50,26
"sj",2012,51,24
"sj",2013,1,22
"sj",2013,2,19
"sj",2013,3,16
"sj",2013,4,14
"sj",2013,5,13
"sj",2013,6,13
"sj",2013,7,13
"sj",2013,8,13
"sj",2013,9,12
"sj",2013,10,10
"sj",2013,11,9
"sj",2013,12,7
"sj",2013,13,8
"sj",2013,14,8
"sj",2013,15,8
"sj",2013,16,8
"sj",2013,17,8
"iq",2010,26,5
"iq",2010,27,3
"iq",2010,28,3
"iq",2010,29,4
"iq",2010,30,4
"iq",2010,31,5
"iq",2010,32,6
"iq",2010,33,7
"iq",2010,34,7
"iq",2010,35,6
"iq",2010,36,6
"iq",2010,37,6
"iq",2010,38,7
"iq",2010,39,7
"iq",2010,40,7
"iq",2010,41,9
"iq",2010,42,9
"iq",2010,43,10
"iq",2010,44,10
"iq",2010,45,9
"iq",2010,46,9
"iq",2010,47,8
"iq",2010,48,6
"iq",2010,49,7
"iq",2010,50,7
"iq",2010,51,7
"iq",2011,52,6
"iq",2011,1,8
"iq",2011,2,9
"iq",2011,3,6
"iq",2011,4,5
"iq",2011,5,5
"iq",2011,6,6
"iq",2011,7,6
"iq",2011,8,5
"iq",2011,9,4
"iq",2011,10,4
"iq",2011,11,4
"iq",2011,12,4
"iq",2011,13,4
"iq",2011,14,4
"iq",2011,15,4
"iq",2011,16,4
"iq",2011,17,4
"iq",2011,18,5
"iq",2011,19,4
"iq",2011,20,4
"iq",2011,21,4
"iq",2011,22,4
"iq",2011,23,5
"iq",2011,24,6
"iq",2011,25,6
"iq",2011,26,6
"iq",2011,27,6
"iq",2011,28,7
"iq",2011,29,6
"iq",2011,30,6
"iq",2011,31,6
"iq",2011,32,6
"iq",2011,33,5
"iq",2011,34,5
"iq",2011,35,5
"iq",2011,36,5
"iq",2011,37,5
"iq",2011,38,5
"iq",2011,39,4
"iq",2011,40,4
"iq",2011,41,4
"iq",2011,42,4
"iq",2011,43,4
"iq",2011,44,4
"iq",2011,45,3
"iq",2011,46,3
"iq",2011,47,3
"iq",2011,48,4
"iq",2011,49,4
"iq",2011,50,3
"iq",2011,51,3
"iq",2012,52,4
"iq",2012,1,3
"iq",2012,2,3
"iq",2012,3,3
"iq",2012,4,4
"iq",2012,5,4
"iq",2012,6,4
"iq",2012,7,4
"iq",2012,8,4
"iq",2012,9,4
"iq",2012,10,4
"iq",2012,11,5
"iq",2012,12,5
"iq",2012,13,5
"iq",2012,14,5
"iq",2012,15,5
"iq",2012,16,6
"iq",2012,17,6
"iq",2012,18,6
"iq",2012,19,6
"iq",2012,20,6
"iq",2012,21,6
"iq",2012,22,6
"iq",2012,23,6
"iq",2012,24,5
"iq",2012,25,5
"iq",2012,26,5
"iq",2012,27,5
"iq",2012,28,5
"iq",2012,29,5
"iq",2012,30,5
"iq",2012,31,5
"iq",2012,32,5
"iq",2012,33,5
"iq",2012,34,5
"iq",2012,35,5
"iq",2012,36,5
"iq",2012,37,5
"iq",2012,38,5
"iq",2012,39,5
"iq",2012,40,5
"iq",2012,41,5
"iq",2012,42,6
"iq",2012,43,6
"iq",2012,44,6
"iq",2012,45,6
"iq",2012,46,7
"iq",2012,47,7
"iq",2012,48,7
"iq",2012,49,7
"iq",2012,50,7
"iq",2012,51,7
"iq",2013,1,7
"iq",2013,2,7
"iq",2013,3,7
"iq",2013,4,7
"iq",2013,5,7
"iq",2013,6,7
"iq",2013,7,7
"iq",2013,8,7
"iq",2013,9,7
"iq",2013,10,7
"iq",2013,11,7
"iq",2013,12,6
"iq",2013,13,6
"iq",2013,14,6
"iq",2013,15,6
"iq",2013,16,6
"iq",2013,17,5
"iq",2013,18,5
"iq",2013,19,5
"iq",2013,20,5
"iq",2013,21,5
"iq",2013,22,5
"iq",2013,23,5
"iq",2013,24,5
"iq",2013,25,5
"iq",2013,26,5
